,,,,,,,,,,,,,,,,,,,,
Theme,Indicator Name,Source of Indicator,Data set name,Group,API,Chart type 1,Filter 1 for chart type 1,Filter type for chart type 1,Filter 2 for chart type 1,Filter type for chart type 1,Chart type 2,Filter 1 for chart type 2,Filter type for chart type 2,Filter 2 for chart type 2,Filter type for chart type 2,Chart type 3,Filter 1 for chart type 3,Filter type for chart type 3,Filter 2 for chart type 3,Filter type for chart type 3
Education,Number of Colleges over the years,,AISHE,AISHE,https://esankhyiki.mospi.gov.in/macroindicators?product=aishe&tab=api,Line,No Filters were required as per details sheet,,,,Area,No Filters were required as per details sheet,,,,circle,Year,multiple values dropdown,,
Education,Number of Teachers by faculty type (over the years) in higher education ,,AISHE,AISHE,https://esankhyiki.mospi.gov.in/macroindicators?product=aishe&tab=api,Side by side Bar - color by year,"Gender, year",Multiple Values Dropdown,Faculty Type,Single Values Dropdown,Area,Gender,Single Values Dropdown,Faculty Type,Single Values Dropdown,Pie -  color by faculty type,Year,Single Values Dropdown,Gender,Multiple Values Dropdown
Education,Number of Universities over the years,,AISHE,AISHE,https://esankhyiki.mospi.gov.in/macroindicators?product=aishe&tab=api,Line,No Filters were required as per details sheet,,,,Circle,year,Multiple Values Dropdown,,,Area,No Filters were required as per details sheet,,,
Education,Mode of Education wise Pupil Teacher Ratio (PTR) by instutuition type and learning mode,,AISHE,AISHE,https://esankhyiki.mospi.gov.in/macroindicators?product=aishe&tab=api,Side by side  Bar - color by year,Year,Multiple Values Dropdown,Institution Type,Multiple Values Dropdown,Line - Color by Institution type,Learning Mode,Single Values Dropdown,Institution Type,Multiple Values Dropdown,Bar - color by year,Learning Mode ,Multiple Values Dropdown,"Institution Type, year",Single Values Dropdown
Education,Social Group wise Gross Enrolment Ratio (GER),,AISHE,AISHE,https://esankhyiki.mospi.gov.in/macroindicators?product=aishe&tab=api,Side by side  Bar - color by year,"Gender, year",Single Values Dropdown ,Social Category,Multiple Values Dropdown,Line - Color by Gender,Gender,Multiple Values Dropdown,Social Category,Single Values Dropdown,Lollipop- Color by Gender,Gender,Single Values Dropdown,Social Category,Single Values Dropdown
Education,Estimated Student Enrolment in Higher Education (Across education level and gender),,AISHE,AISHE,https://esankhyiki.mospi.gov.in/macroindicators?product=aishe&tab=api,Side by side  Bar - color by year,"Gender, year",Multiple Values Dropdown,Education Level,Multiple Values Dropdown,Line - color by education type,Gender,Single Values Dropdown,Education Level,Multiple Values Dropdown,Bar- Color by education level,"Gender, year",Multiple Values Dropdown,Education Level,Multiple Values Dropdown
Education,Children With Special Needs (CWSN) enrolment,,UDISE+,UDISE,https://esankhyiki.mospi.gov.in/macroindicators?product=udise&tab=api,Line - color by level of Education,Gender,Single Values Dropdown,Level of Education,Multiple Values Dropdown,side by side Bar Chart - color by level of Education,Gender; year,Multiple Values Dropdown; single value dropdown,Level of Education,Multiple Values Dropdown,Bar Chart - Color by Level of Education,Gender,Single Values Dropdown,Level of Education ,Multiple Value Select
Education,Dropout Rate,,UDISE+,UDISE,https://esankhyiki.mospi.gov.in/macroindicators?product=udise&tab=api,Horizontal Bar Chart - color by Level of Education,Gender ;year,Single Values Dropdown,Level of Education,Multiple Values Dropdown,side by side Bar Chart - color by level of Education,Gender; year,Multiple Values Dropdown,Level of Education,Multiple Values Dropdown,Line Chart - Color by Level of Education,Gender; year,Single Values Dropdown,Level of Education,Multiple Values Dropdown
Education,Gross Enrolment Ratio (GER),,UDISE+,UDISE,https://esankhyiki.mospi.gov.in/macroindicators?product=udise&tab=api,Horizontal Bar Chart - color by Level of Education,Gender ;year,Single Values Dropdown,Level of Education,Multiple Values Dropdown,Horizontal Bar Chart - color by social group,Gender ;year,Single Values Dropdown; multiple values dropdown,Level of Education,Multiple Values Dropdown,Line Chart - Color by Level of Education,Gender,Single Values Dropdown,Level of Education,Multiple Values Dropdown
Education,Net Enrolment Rate (NER),,UDISE+,UDISE,https://esankhyiki.mospi.gov.in/macroindicators?product=udise&tab=api,Horizontal Bar Chart - color by Level of Education,Gender; year,Multiple Values Dropdown,Level of Education,Single Values Dropdown,side by side Bar Graph - color by year,Gender; year,Single value dropdown; Multiple Values Dropdown,Level of Education,Single Values Dropdown,Line Chart - Color by level of Education,Gender,SIngle Values Dropdown,Level of Education,Multiple Values Dropdown
Education,Percentage of Trained Teachers (All Management),,UDISE+,UDISE,https://esankhyiki.mospi.gov.in/macroindicators?product=udise&tab=api,Bar Chart,Gender ;year,Single Values Dropdown,Level of Education,Multiple Values Dropdown,Horizontal grouped bar chart - color by gender,Gender ;year,Multiple Values Dropdown; single value dropdown,Level of Education,Multiple Values Dropdown,Line Chart - Color by Education,Gender,SIngle Values Dropdown,Level of Education,SIngle Values Dropdown
Education,Number of Books available in Library/Book Bank/Reading Corner per School,,UDISE+,UDISE,https://esankhyiki.mospi.gov.in/macroindicators?product=udise&tab=api,line chart,No Filters were required as per details ,,,,column bar,No Filters were required as per details,,,,Dot chart,No Filters were required as per details,,,
Education,Number of schools by level of school education,,UDISE+,UDISE,https://esankhyiki.mospi.gov.in/macroindicators?product=udise&tab=api,Pie chart - colour by level of education,Year,Single Values Dropdown,,,Tree map- color by level of education,level of education,Multiple Values Dropdown,Year,Single Values Dropdown,Line chart - colour by level of education,Level of education,Multiple Values Dropdown,,
Education,Number of schools by management and school category,,UDISE+,UDISE,https://esankhyiki.mospi.gov.in/macroindicators?product=udise&tab=api,Tree map - colour by type of management,level of education ,Single Values Dropdown,Year,Single Values Dropdown,Stacked column bar - colour by type of management,level of education,Multiple Values Dropdown,Year,Single Values Dropdown,Line chart - colour by type of management,level of education,Single Values Dropdown,Type of management,Multiple Values Dropdown
Education,Percentage of students reported expenditure on course fees by level of current enrolment,,NSS80 Education / CMSE,CMSE,https://esankhyiki.mospi.gov.in/macroindicators?product=nss80e&tab=api ,Lollipop Chart - color by Gender,"Sector (Rural, Urban, All) ",Single Value Dropdown,"Gender (Female, Male, Person)",Multiple Value Dropdown,Grouped Bar Chart - color by sector,"Gender (Female, Male and Person)",Single Values Dropdown,"Sector (Rural,Urban, All)",Multiple Value Dropdown,Butterfly Chart - color by sector,"Gender (Female, Male, Person)",Single Values Dropdown,"Sector (Rural, Urban, All)",Multiple Value Dropdown
Education,Percentage of students reported expenditure on course fees by type of school,,NSS80 Education / CMSE,CMSE,https://esankhyiki.mospi.gov.in/macroindicators?product=nss80e&tab=api ,Grouped Bar Chart by type of school - color by Gender,"Sector (Rural, Urban) ",Single Values Dropdown,"Gender (Female, Male, Person)",Multiple Value Dropdown,Dumbbell Chart color by sector(Rural vs Urban),"Gender (Female, Male and Person)",Single Values Dropdown,"Sector (Rural,Urban, All)",Multiple Value Dropdown,Government vs non-government comparison chart ,"Sector (Urban, Rural, All)",Single Values Dropdown,"Gender (Female, Male, All)",Multiple Value Dropdown
Education,Average expenditure (₹) per student on school education by level of current enrolment,,NSS80 Education / CMSE,CMSE,https://esankhyiki.mospi.gov.in/macroindicators?product=nss80e&tab=api , Lollipop chart by level of enrolment,"Sector (Rural, Urban) ",Single Values Dropdown,"Gender (Female, Male, Person)",Multiple Value Dropdown,Grouped Bar Chart by tyoe of school,"Sector (Urban, Rural)",Single Values Dropdown,"Gender (Female, Male, All)",Multiple Value Dropdown,Heat Map Matrix,"Sector (Urban, Rural, All)",Single Values Dropdown,"Gender (Female, Male, All)",Multiple Values Dropdown
Education,Average expenditure (₹) per student on school education by type of school,,NSS80 Education / CMSE,CMSE,https://esankhyiki.mospi.gov.in/macroindicators?product=nss80e&tab=api ,Grouped Bar Chart by type of school,"Sector (Rural, Urban) ",Single Values Dropdown,"Gender (Female, Male, Person)",Multiple Value Dropdown,Heat Map Matrix,"Sector (Urban, Rural)",Single Values Dropdown,"Gender (Female, Male, All)",Multiple Value Dropdown,Dumbbell Plot,"Gender (Female, Male, Person)",Single Values Dropdown,"Sector (Rural, Urban, All)",Multiple Value Dropdown
Education,Average expenditure (₹) per student on school expenditure during the current academic year,,NSS80 Education / CMSE,CMSE,https://esankhyiki.mospi.gov.in/macroindicators?product=nss80e&tab=api ,Grouped Bar Chart by Level of Enrollment ,"Sector (Rural, Urban) ",Single Values Dropdown,Type of School,Multiple Value Dropdown,Lollipop Chart,"Level of Enrollment (Highe Secondary, Secondary, Middle, Primary, Pre-Primary",Single Values Dropdown,"Sector (Rural,Urban, All)",Multiple Value Dropdown,Panel Chart,Level of Enrollment ,Single Values Dropdown,Type of School,Multiple Value Dropdown
Education,Average expenditure (₹) per student on school education by items of expenditure,,NSS80 Education / CMSE,CMSE,https://esankhyiki.mospi.gov.in/macroindicators?product=nss80e&tab=api ,Ranked bar by item,"Gender (Male, Female, Person)",Single Values Dropdown,Sector ,Single Value Dropdown,Dumbbell Chart (Rural vs Urban),"Gender (Female, Male and Person)",Single Values Dropdown,Sector,Multiple Values Dropdown,Grouped Bar Chart -By item,"Sector (Urban, Rural, All)",Multiple Values Dropdown,"Gender (Female, Male, All)",Multiple Value Dropdown
Education,Average expenditure (₹) per reported student in school education,,NSS80 Education / CMSE,CMSE,https://esankhyiki.mospi.gov.in/macroindicators?product=nss80e&tab=api ,Grouped bar chart by sector and gender,"Sector (Urban, Rural, All)",Single Values Dropdown,"Gender (Female, Male, Person)",Multiple Value Dropdown,Dumbbell Chart (Rural vs Urban),Sector,Multiple Value Dropdown,Expenditure  by Item,Single Values Dropdown,Heat Map Matrix,"Gender (Urban, Rural, All)",Multiple Values Dropdown,"Sector (Rural, Urban, All)",Single Values Dropdown
